Type,Name,Address,State,Phone_number,Notes,latitude,longitude,FIPS
Colon & Rectal Surgeon,Brian S Buchberg M.D.,"113 Gainsborough Sq, Suite 400, Chesapeake, VA 23320",VA,757-842-4499,,,,
Colon & Rectal Surgeon,Jean-Paul J Lefave M.D.,"3300 Gallows Rd, Falls Church, VA 22042",VA,703-776-2337,,,,
Colon & Rectal Surgeon,Farrell C Adkins MD,"3 Riverside Cir, Roanoke, VA 24016",VA,540-224-5170,,,,
Colon & Rectal Surgeon,"Homayoon M Akbari MD, PH.D.","702 N Main St, Emporia, VA 23847",VA,434-336-1222,,,,
Colon & Rectal Surgeon,Kiyanda N Baldwin M.D.,"125 Hospital Center Blvd Ste 201, Stafford, VA 22554",VA,540-374-3212,,,,
Colon & Rectal Surgeon,Brian J Billings MD,"109 Philip Roth St, Newport News, VA 23606",VA,757-873-6434,,,,
Colon & Rectal Surgeon,Jaime L Bohl MD,"9109 Stony Point Dr, Richmond, VA 23235",VA,804-327-8001,,,,
Colon & Rectal Surgeon,Paul A Lucha DO,"620 John Paul Jones Circle, Portsmouth, VA 23708",VA,757-953-2464,,,,
Colon & Rectal Surgeon,Anna Matrachisia M.D.,"1625 N George Mason Dr Ste 334, Arlington, VA 22205",VA,703-717-4180,,,,
Colon & Rectal Surgeon,Kimberly A Matzie MD,"2710 Prosperity Ave, Suite 200, Fairfax, VA 22031",VA,703-280-2841,,,,
Colon & Rectal Surgeon,William B Stewart M.D.,"7605 Forest Ave, Suite 308, Richmond, VA 23229",VA,804-288-7077,,,,
Colon & Rectal Surgeon,"T. Onsanit, Md, Pc","1020 Independence Blvd, 204, Virginia Beach, VA 23455",VA,757-464-5642,,,,
Colon & Rectal Surgeon,"Tidewater Surgical Specialists, Pllc","3205 Churchland Blvd, Chesapeake, VA 23321",VA,757-483-3030,,,,
Colon & Rectal Surgeon,John D Tillou MD,"2710 Prosperity Ave, Ste 200, Fairfax, VA 22031",VA,703-280-2841,,,,
Colon & Rectal Surgeon,William R Timmerman M.D.,"7605 Forest Ave, Suite 308, Richmond, VA 23229",VA,804-288-7077,,,,
Colon & Rectal Surgeon,Kristin C Turza M.D.,"70 Medical Center Cir Ste 213, Fishersville, VA 22939",VA,540-245-7705,,,,
Colon & Rectal Surgeon,Maria Sophia S Villanueva M.D,"400 Campus Blvd Ste 210, Winchester, VA 22601",VA,540-536-3470,,,,
Colon & Rectal Surgeon,"Virginia Hospital Center Physician Group, Llc","1625 N George Mason Dr, Suite 454, Arlington, VA 22205",VA,703-707-4180,,,,
Colon & Rectal Surgeon,"Virginia Physician Associates, Llc","1625 N George Mason Dr, Suite 415, Arlington, VA 22205",VA,703-717-4200,,,,
Colon & Rectal Surgeon,"Virginia Surgery Associates, P.C.","13135 Lee Jackson Memorial Hwy Ste 305, Fairfax, VA 22033",VA,703-359-8640,,,,
Colon & Rectal Surgeon,Lawrence E Stern M.D.,"2710 Propersity Avenue, 200, Fairfax, VA 22031",VA,703-280-2841,,,,
Colon & Rectal Surgeon,Andrew J Vorenberg MD,"7605 Forest Ave, Suite 308, Richmond, VA 23229",VA,804-288-7077,,,,
Colon & Rectal Surgeon,Othon Wiltz M.D.,"3620 Joseph Siewick Dr Ste 406, Fairfax, VA 22033",VA,703-359-8640,,,,
Colon & Rectal Surgeon,Jeffrey S Wolf M.D.,"3235 Academy Ave, Suite 200, Portsmouth, VA 23703",VA,757-484-9653,,,,
Colon & Rectal Surgeon,Mercy D Wagner M.D.,"260 John Paul Jones Cir, Portsmouth, VA 23708",VA,757-953-5254,,,,
Colon & Rectal Surgeon,Julia H Sone MD,"6501 Loisdale Ct, Springfield Medical Center, Springfield, VA 22150",VA,703-922-1528,,,,
Colon & Rectal Surgeon,Shafik M Sidani M.D.,"1625 N George Mason Dr, Suite 454, Arlington, VA 22205",VA,703-717-4180,,,,
Colon & Rectal Surgeon,Wayne M Mcdermott MD,"1543 Amberley Forest Road, Virginia Beach, VA 23453",VA,757-471-7700,,,,
Colon & Rectal Surgeon,Kavoos N Mesbahi MD,"10535 Crestwood Dr, 101, Manassas, VA 20109",VA,703-257-2070,,,,
Colon & Rectal Surgeon,Peter E Miller M.D.,"7605 Forest Ave Ste 308, Richmond, VA 23229",VA,804-288-7077,,,,
Colon & Rectal Surgeon,Terry P Nickerson MD,"3 Riverside Cir, Roanoke, VA 24016",VA,540-526-1251,,,,
Colon & Rectal Surgeon,"Northern Virginia Surgical Group, Pc","8316 Arlington Blvd., Suite 630, Fairfax, VA 22031",VA,703-560-7788,,,,
Colon & Rectal Surgeon,Sean C O'Donovan M.D.,"7605 Forest Ave, Suite 308, Richmond, VA 23229",VA,804-288-7077,,,,
Colon & Rectal Surgeon,Tawachai Onsanit M.D.,"1020 Independence Blvd, Suite 204, Virginia Beach, VA 23455",VA,757-464-5642,,,,
Colon & Rectal Surgeon,Daniel P Otchy M.D.,"2710 Propersity Avenue, 200, Fairfax, VA 22031",VA,703-280-2841,,,,
Colon & Rectal Surgeon,Jon Palmintier M.D.,"7605 Forest Ave, Suite 308, Richmond, VA 23229",VA,804-288-7077,,,,
Colon & Rectal Surgeon,Paul A Ghaemmaghami Md Pc,"5855 Bremo Rd, Suite 101, Richmond, VA 23226",VA,804-673-0080,,,,
Colon & Rectal Surgeon,Crawford C Smith MD,"7605 Forest Ave, Suite 308, Richmond, VA 23229",VA,804-288-7077,,,,
Colon & Rectal Surgeon,Rodolfo Pigalarga M.D.,"1625 N George Mason Dr Ste 334, Arlington, VA 22205",VA,703-717-4180,,,,
Colon & Rectal Surgeon,Ray T Ramirez M.D.,"2000 Meade Pkwy, Suffolk, VA 23434",VA,757-686-3508,,,,
Colon & Rectal Surgeon,Renato F Ramirez M.D.,"3205 Churchland Blvd, Chesapeake, VA 23321",VA,757-483-3030,,,,
Colon & Rectal Surgeon,Craig Rezac MD,"1625 N George Mason Dr Ste 334, Arlington, VA 22205",VA,703-717-4180,,,,
Colon & Rectal Surgeon,Emily B Rivet MD,"1250 E Marshall St, Dept. Of Surgery/Bariatric & Gastrointestinal, Richmond, VA 23298",VA,804-327-8001,,,,
Colon & Rectal Surgeon,Irfan A Rizvi M.B.B.S.,"8008 Westpark Dr, Mc Lean, VA 22102",VA,703-287-4600,,,,
Colon & Rectal Surgeon,William G Rudolph M.D.,"1080 First Colonial Rd, Suite 200, Virginia Beach, VA 23454",VA,757-395-6070,,,,
Colon & Rectal Surgeon,Rudolph B Rustin M.D.,"1300 Jefferson Park Ave, 4Th Floor, Charlottesville, VA 22903",VA,434-982-4411,,,,
Colon & Rectal Surgeon,Caroline Sanchez M.D.,"2710 Prosperity Ave, Suite 200, Fairfax, VA 22031",VA,703-280-2841,,,,
Colon & Rectal Surgeon,Paul E Savoca M.D.,"13135 Lee Jackson Memorial Hwy Ste 305, Fairfax, VA 22033",VA,703-359-8640,,,,
Colon & Rectal Surgeon,William Seid M.D.,"12255 Fair Lakes Pkwy, Kaiser Permanente Fair Oaks Medical Center, Fairfax, VA 22033",VA,703-934-5770,,,,
Colon & Rectal Surgeon,Timothy A Plerhoples M.D.,"2710 Prosperity Ave Ste 200, Fairfax, VA 22031",VA,703-280-2841,,,,
FQHC,Neighborhood Health at Richmond Highway,"6677 Richmond Hwy, Alexandria, VA 22306-6647",VA,703-535-5568,All Other Clinic Types,38.77348807,-77.08045995,
FQHC,PATHS Community Medical Center - Danville,"705 Main St, Danville, VA 24541-1803",VA,434-791-4122,All Other Clinic Types,36.58595425,-79.39545192,
FQHC,Amherst County Community Health Center,"134 Elon Rd, Madison Heights, VA 24572-2536",VA,434-455-2480,All Other Clinic Types,37.46711683,-79.12084577,
FQHC,Nandua Middle School,"20330 Warrior Dr, Onley, VA 23418-3060",VA,757-787-7037,School,37.68182590,-75.72502264,
FQHC,Appalachia Family Health Center,"536 E Main St, Appalachia, VA 24216-1500",VA,276-565-2761,All Other Clinic Types,36.90819676,-82.77069332,
FQHC,Northwood Middle School,"156 Long Hollow Rd, Saltville, VA 24370-4140",VA,276-496-4492,School,36.92997849,-81.62581651,
FQHC,Tazewell - New Day Recovery,"388 Ben Bolt Ave STE 4, Tazewell, VA 24651-5386",VA,276-979-9899,Hospital,37.12374600,-81.48901295,
FQHC,Blue Ridge Dental Center,"4038 Thomas Nelson Hwy STE B, Arrington, VA 22922-2302",VA,434-263-6310,All Other Clinic Types,37.70757506,-78.93401382,
FQHC,Bermuda Medical Center,"2740 Bensley Commons Blvd, North Chesterfield, VA 23237-1723",VA,804-780-0840,All Other Clinic Types,37.42413120,-77.44045758,
FQHC,Bassett Family Practice,"324 T B Stanley Hwy, Bassett, VA 24055-6108",VA,276-629-1076,All Other Clinic Types,36.73602850,-79.95913952,
FQHC,STONEYBROOK PHYSICIANS,"15425 Warwick Blvd STE H, Newport News, VA 23608-1579",VA,757-874-8400,All Other Clinic Types,37.15029736,-76.55437927,
FQHC,Neighborhood Health at the WOW Bus,"2 E Glebe Rd, Alexandria, VA 22305-2938",VA,703-535-5568,All Other Clinic Types,38.83541814,-77.05742698,
FQHC,"BLUE RIDGE MEDICAL CENTER, INC.","4038 Thomas Nelson Hwy, Arrington, VA 22922-2302",VA,434-263-4000,All Other Clinic Types,37.70757506,-78.93401382,
FQHC,Healthy Smiles Dental Van #1,"1541 High St, Portsmouth, VA 23704-32ND",VA,757-393-6363,All Other Clinic Types,36.83488008,-76.31792679,
FQHC,"Southwest Virginia Community Health Systems, Inc.","13191 Glenbrook Ave, Meadowview, VA 24361-3335",VA,276-944-3682,Unknown,36.76082338,-81.85879369,
FQHC,Henrico Area Mental Health and Developmental Services East End Center,"3908 Nine Mile Rd, Richmond, VA 23223-4913",VA,804-649-2119,All Other Clinic Types,37.54116793,-77.38085890,
FQHC,CRAIG COUNTY WELLNESS CENTER,"25239 Craigs Creek Rd, New Castle, VA 24127-6223",VA,304-772-3064,School,37.51660044,-80.08606090,
FQHC,Northside Medical Center &amp; Administration,"2809 North Ave, Richmond, VA 23222-3647",VA,804-780-0840,All Other Clinic Types,37.56908763,-77.43286810,
FQHC,Stone Mountain Health Services Data Center,"512 Dryden Loop, Dryden, VA 24243-8366",VA,276-546-5310,Unknown,36.77532621,-82.94923043,
FQHC,VERNON J. HARRIS EAST END CHC,"719 N 25th St, Richmond, VA 23223-6539",VA,804-780-0840,All Other Clinic Types,37.53575816,-77.41484005,
FQHC,CVHS- Blue Devils Health Center,"400 S Mesa Dr, Hopewell, VA 23860-4138",VA,804-972-0068,School,37.28980500,-77.31552800,
FQHC,Neighborhood Health at South County Center,"8350 Richmond Hwy STE 301, Alexandria, VA 22309-2344",VA,703-535-5568,All Other Clinic Types,38.73150492,-77.10412030,
FQHC,HCHC Elkton,"800 Shenandoah Ave STE 170, Elkton, VA 22827-3060",VA,540-298-9900,All Other Clinic Types,38.41642898,-78.62359210,
FQHC,Chesapeake Community Health Center,"490 Liberty St, Chesapeake, VA 23324-2618",VA,757-000-0000,All Other Clinic Types,36.82266234,-76.27478035,
FQHC,Kiptopeke Dental,"24023 Fairview Rd, Cape Charles, VA 23310-2153",VA,757-414-0400 x1210,School,37.25359526,-75.97180523,
FQHC,Neighborhood Health at Annandale Medical,"6715 Little River Tpke STE 201, Annandale, VA 22003-3546",VA,703-535-5568,All Other Clinic Types,38.82543324,-77.17551576,
FQHC,Henderson Health Services (VUU),"1500 N Lombardy St, Richmond, VA 23220-1711",VA,804-780-0840,All Other Clinic Types,37.56088619,-77.44990499,
FQHC,Lunenburg Medical Center,"1508 K V Rd, Victoria, VA 23974-2624",VA,434-696-2165,All Other Clinic Types,36.97014998,-78.19852202,
FQHC,Giles High School Service Site,"1825 Wenonah Ave, Pearisburg, VA 24134-2285",VA,540-824-2194,School,37.32671748,-80.70449087,
FQHC,EAST END PHYSICIANS,"1033 28th St, Newport News, VA 23607-4233",VA,757-952-2160,All Other Clinic Types,36.98802116,-76.41161702,
FQHC,VICTORIA ELEMENTARY SCHOOL,"1521 8th St, Victoria, VA 23974-9591",VA,434-696-2163,School,36.99567023,-78.22578664,
FQHC,Main Street Physicians,"157 N Main St STE A, Suffolk, VA 23434-4565",VA,757-925-1866,All Other Clinic Types,36.72933765,-76.58278370,
FQHC,Ivor Medical Center,"8575 Ivor Rd, Ivor, VA 23866-3108",VA,757-859-6161,All Other Clinic Types,36.90118518,-76.90422289,
FQHC,Daily Planet Health Services,"511 W Grace St, Richmond, VA 23220-4911",VA,804-783-2505,All Other Clinic Types,37.54751600,-77.44736938,
FQHC,Westerre Conference Center,"3831 Westerre Pkwy, Henrico, VA 23233-1330",VA,434-581-4701,Unknown,37.64383031,-77.58080115,
FQHC,Highland Medical Center School Based Healthcare,"240 Myers Moon Rd, Monterey, VA 24465-2102",VA,540-468-6400,School,38.40683928,-79.57799586,
FQHC,Neighborhood Health Arlington Dental,"2100 Washington Blvd, Arlington, VA 22204-5703",VA,703-535-5568,All Other Clinic Types,38.87322840,-77.08324978,
FQHC,Loudoun Community Health Center dba HealthWorks for Northern Virginia,"163 Fort Evans Rd NE, Leesburg, VA 20176-4420",VA,703-443-2000,All Other Clinic Types,39.10924679,-77.54090119,
FQHC,Occohannock Dental,"4208 Seaside Rd, Exmore, VA 23350-2575",VA,757-414-0400,School,37.52088079,-75.81434255,
FQHC,CVHS Buckingham,"25892 N James Madison Hwy, New Canton, VA 23123-2234",VA,434-581-3271,All Other Clinic Types,37.63692052,-78.36087437,
FQHC,Franklin Community Health Center,"1357 Armory Dr, Franklin, VA 23851-2419",VA,999-999-9999,All Other Clinic Types,36.66926488,-76.94879450,
FQHC,Tri-Area Community Health - Grayson Highlands,"6436 Troutdale Hwy, Troutdale, VA 24378-2023",VA,866-942-0401,All Other Clinic Types,36.65284985,-81.40553674,
FQHC,CARITAS,"2220 Stockton St, Richmond, VA 23224-3707",VA,804-783-2505 x236,All Other Clinic Types,37.51357340,-77.45118030,
FQHC,GPW Health Center - Dumfries,"17739 Main St STE 130, Dumfries, VA 22026-3256",VA,703-680-7950,All Other Clinic Types,38.56730914,-77.32616807,
FQHC,VIrginia High School,"650 Long Crescent Dr, Bristol, VA 24201-3690",VA,276-496-4492,School,36.62498426,-82.17620787,
FQHC,Pediatric Medical Center,"5855 Bremo Rd STE 302, Richmond, VA 23226-1923",VA,804-282-4207,Hospital,37.58451284,-77.51301921,
FQHC,THE HEALING PLACE,"700 Dinwiddie Ave, Richmond, VA 23224-5522",VA,804-783-2505 x230,All Other Clinic Types,37.51743050,-77.43463903,
FQHC,Council Family Health Center,"4124 Council Mountain Rd, Honaker, VA 24260-4994",VA,276-859-0859,All Other Clinic Types,37.08084059,-82.06885583,
FQHC,CVHS Peterson,"800 Preston Ave, Charlottesville, VA 22903-4420",VA,434-979-0366,All Other Clinic Types,38.03678077,-78.48836010,
FQHC,Northside Medical Center,"2809 North Ave STE 206, Richmond, VA 23222-3647",VA,804-780-0840,All Other Clinic Types,37.56908763,-77.43286810,
FQHC,Park Place Family Health Center,"3415 Granby St, Norfolk, VA 23504-1421",VA,757-533-9108,All Other Clinic Types,36.87833469,-76.28209289,
FQHC,Mobile Medical Unit #1,"25 Northridge Ln, Lexington, VA 24450-3399",VA,540-464-8700 x7111,All Other Clinic Types,37.80401687,-79.40548003,
FQHC,CVHS Charlotte,"165 Legrande Ave, Charlotte Court House, VA 23923-3747",VA,434-542-5560,All Other Clinic Types,37.05433857,-78.63698851,
FQHC,Little Creek Family Health Center,"7447 Central Business Park Dr, Norfolk, VA 23513-2867",VA,757-393-6363,All Other Clinic Types,36.91204306,-76.24933491,
FQHC,CVHS Children's Dental,"17202 Richmond Tpke, Milford, VA 22514-2211",VA,804-633-5465,All Other Clinic Types,38.02442425,-77.33962949,
FQHC,SCH Migrant Outreach,"867 Fairmont Ave, Winchester, VA 22601-4929",VA,304-263-4999,All Other Clinic Types,39.19732257,-78.16484345,
FQHC,CVHS Charlottesville,"1101 E Jefferson St STE 1, Charlottesville, VA 22902-5353",VA,434-227-5624,Hospital,38.02946676,-78.47131156,
FQHC,Western Primary Health Care Van,"9444 Taney Rd, Manassas, VA 20110-5933",VA,703-680-7950,All Other Clinic Types,38.74113024,-77.47305556,
FQHC,CVHS Charles City,"9950 Courthouse Rd, Charles City, VA 23030-3434",VA,804-829-6600,All Other Clinic Types,37.35271198,-77.07502253,
FQHC,CVHS Louisa,"115 Jefferson Hwy STE 9, Louisa, VA 23093-6563",VA,540-967-9401,All Other Clinic Types,38.01533940,-77.98852332,
FQHC,Tri-Area Community Health Center at Floyd,"140 Christiansburg Pike NE, Floyd, VA 24091-3742",VA,540-745-9290,All Other Clinic Types,36.91795117,-80.30911147,
FQHC,HCHC Park View,"1479 Virginia Ave, Harrisonburg, VA 22802-2433",VA,540-433-4913,All Other Clinic Types,38.47563132,-78.87199736,
FQHC,Marion MAT,"416 E Main St RM 2, Marion, VA 24354-3318",VA,276-783-8185,All Other Clinic Types,36.83547685,-81.51401416,
FQHC,AMELIA HEALTHCARE CENTER,"8920 Otterburn Rd, Amelia Court House, VA 23002-4854",VA,804-561-5150,All Other Clinic Types,37.33790409,-77.98971448,
FQHC,FRANKTOWN COMMUNITY HEALTH CTR,"9159 Franktown Rd, Franktown, VA 23354",VA,757-442-4819,All Other Clinic Types,37.47603970,-75.87729701,
FQHC,WILLIAM A. DAVIS CLINIC,"1389 Dante Rd, Saint Paul, VA 24283-3658",VA,276-762-0770,All Other Clinic Types,36.92522536,-82.28586968,
FQHC,Bedford  Community Health Center,"582 Blue Ridge Ave, Bedford, VA 24523-2604",VA,540-425-7910,All Other Clinic Types,37.33751199,-79.53269201,
FQHC,SDHS Family Dentistry,"1418 6th St, Victoria, VA 23974",VA,434-696-4180,All Other Clinic Types,36.99360313,-78.22541426,
FQHC,Ridgeway Family Health,"4944 Greensboro Rd, Ridgeway, VA 24148-3390",VA,276-403-5007,All Other Clinic Types,36.62635398,-79.85981087,
FQHC,Mountain View Family Dentistry,"2131 Magnolia Ave, Buena Vista, VA 24416-3111",VA,540-464-8700,All Other Clinic Types,37.73486692,-79.35410433,
FQHC,Clinical Annex Montgomery,"209 Roanoke St STE 4, Christiansburg, VA 24073-3035",VA,540-381-0820,All Other Clinic Types,37.13014592,-80.40305534,
FQHC,CENTRAL HIGH SCHOOL,"131 K V Rd, Victoria, VA 23974-2613",VA,434-696-2137,School,36.98519599,-78.21626298,
FQHC,HAYSI CLINIC,"162 Medical Center Blvd, Haysi, VA 24256",VA,276-865-5121,All Other Clinic Types,37.20067800,-82.29520812,
FQHC,Neighborhood Health at Merrifield Center,"8221 Willow Oaks Corporate Dr STE 450, Fairfax, VA 22031-4512",VA,703-535-5568,All Other Clinic Types,38.86406375,-77.23374007,
FQHC,Jonesville Family Health Center,"276 Fieldstone Dr, Jonesville, VA 24263-1215",VA,276-546-5310,All Other Clinic Types,36.72192704,-83.11277980,
FQHC,Chilhowie Elementary School,"130 E Lee Hwy, Chilhowie, VA 24319-4652",VA,276-646-8220,School,36.79882353,-81.68184239,
FQHC,MOBILE CLINIC 2,"4038 Thomas Nelson Hwy, Arrington, VA 22922-2302",VA,434-263-4000,All Other Clinic Types,37.70757506,-78.93401382,
FQHC,Montgomery Clinic,"215 Roanoke St, Christiansburg, VA 24073-3025",VA,540-381-0820,All Other Clinic Types,37.13013436,-80.40222603,
FQHC,"Clinch River Health Services, Inc.","17285 Veterans Memorial Hwy, Dungannon, VA 24245-3937",VA,276-467-2201,All Other Clinic Types,36.81686605,-82.49424899,
FQHC,CVHS Brunswick,"8380 Boydton Plank Rd, Alberta, VA 23821-2851",VA,804-949-7211,All Other Clinic Types,36.84233769,-77.90687487,
FQHC,GPW Health Center - Manassas,"9705 Liberia Ave STE 201, Manassas, VA 20110-1744",VA,703-680-7950,All Other Clinic Types,38.74599455,-77.44865123,
FQHC,JOHNSON HEALTH CENTER,"320 Federal St, Lynchburg, VA 24504-2306",VA,434-947-5967,All Other Clinic Types,37.41619719,-79.15168338,
FQHC,Southeastern Virginia Health System @ Four Oaks Day Service Center,"7401 Warwick Blvd, Newport News, VA 23607-1515",VA,757-975-5200,All Other Clinic Types,37.01344753,-76.44918077,
FQHC,Greater Fulton Medical Center,"1718 Williamsburg Rd, Richmond, VA 23231-3428",VA,804-780-0840,All Other Clinic Types,37.51517971,-77.39355094,
FQHC,"Horizon Health Services, Inc. Administrative Office","8314 Main St, Ivor, VA 23866-3433",VA,757-859-5015,Unknown,36.90564520,-76.89716558,
FQHC,Healthy Smiles Dental Van #2,"1541 High St, Portsmouth, VA 23704-32ND",VA,757-393-6363,All Other Clinic Types,36.83488008,-76.31792679,
FQHC,Safe Haven,"2864 Hull St, Richmond, VA 23224-3680",VA,804-231-7137,All Other Clinic Types,37.51070147,-77.46013477,
FQHC,PATHS George Washington High School Based Health Center,"701 Broad St, Danville, VA 24541-2627",VA,434-791-3630,School,36.58705270,-79.41416695,
FQHC,JAMES RIVER DENTAL CLINIC,"239 Trojan Rd, Madison Heights, VA 24572-5346",VA,434-847-4691,All Other Clinic Types,37.45569946,-79.11451282,
FQHC,COMMUNITY DENTAL SERVICES,"1033 28th St, Newport News, VA 23607-4233",VA,757-928-3810,All Other Clinic Types,36.98802116,-76.41161702,
FQHC,KENBRIDGE ELEMENTARY SCHOOL,"215 Nottoway Falls Rd, Kenbridge, VA 23944-3424",VA,434-676-2053,School,36.96743110,-78.12265146,
FQHC,HAMHDS Woodman Center,"10299 Woodman Rd, Glen Allen, VA 23060-4419",VA,804-649-2119 x264,All Other Clinic Types,37.65416365,-77.49460853,
FQHC,Rockfish River Elementary School,"200 Chapel Hollow Rd, Afton, VA 22920-3145",VA,434-361-1791,School,37.94495798,-78.83868702,
FQHC,Pulaski County High School Service Site,"5414 Cougar Trail Rd BLDG 2, Dublin, VA 24084-3841",VA,540-381-0820,School,37.09422398,-80.71603401,
FQHC,Southeastern Virginia Health System @ Hampton Newport News Community Services Board,"300 Medical Dr, Hampton, VA 23666-1765",VA,757-788-0300,All Other Clinic Types,37.05557603,-76.38824593,
FQHC,Neighborhood Health at the Gartlan Mental Health Center,"8119 Holland Rd, Alexandria, VA 22306-3135",VA,703-535-5568,All Other Clinic Types,38.73728663,-77.07911642,
FQHC,Virginia Beach Housing Resource Center Health Clinic,"104 N Witchduck Rd, Virginia Beach, VA 23462-6506",VA,757-591-0643,All Other Clinic Types,36.84155448,-76.15815858,
FQHC,Neighborhood Health at Merrifield Center Lower Level,"8221 Willow Oaks Corporate Dr, Fairfax, VA 22031-4512",VA,703-535-5568,All Other Clinic Types,38.86376284,-77.23378273,
FQHC,Pulaski/Radford Clinic,"5826 Ruebush Rd STE B, Dublin, VA 24084-2201",VA,540-585-1310,All Other Clinic Types,37.11547478,-80.67025734,
FQHC,"Eastern Shore Rural Health System, Inc.","20280 Market St, Onancock, VA 23417-1331",VA,757-414-0400,Unknown,37.70407973,-75.72618194,
FQHC,CVHS Fredericksburg,"1965 Emancipation Hwy STE 100, Fredericksburg, VA 22401-6213",VA,540-735-0560,All Other Clinic Types,38.28498899,-77.48792245,
FQHC,"BLAND COUNTY MEDICAL CLINIC, INC.","12301 Grapefield Rd, Bastian, VA 24314-4547",VA,276-688-4331,All Other Clinic Types,37.17716936,-81.14393193,
FQHC,T.K. MCKEE HOSPITAL BUILDING,"319 5th Ave, Saltville, VA 24370-3418",VA,276-496-4492,All Other Clinic Types,36.88091854,-81.75716504,
FQHC,Waverly Medical Center,"344 W Main St, Waverly, VA 23890-3235",VA,804-834-8871,All Other Clinic Types,37.03577977,-77.09617820,
FQHC,Tri-Area Community Health at Galax Schools,"200 Maroon Tide Dr, Galax, VA 24333-4238",VA,866-942-0401,School,36.65514879,-80.92272194,
FQHC,Tri-Area Community Health Center at Ferrum,"180 Ferrum Mountain Rd, Ferrum, VA 24088-2939",VA,540-365-4469,All Other Clinic Types,36.92670624,-80.01917272,
FQHC,Bland County Medical Clinic Mobile Unit,"12301 Grapefield Rd, Bastian, VA 24314-4547",VA,276-688-4331,All Other Clinic Types,37.17716936,-81.14393193,
FQHC,DAILY PLANET HEALTHCARE FOR THE HOMELESS PROGRAM,"517 W Grace St, Richmond, VA 23220-4911",VA,804-783-2505 x230,All Other Clinic Types,37.54769957,-77.44765059,
